CfgID,GUID,IN_E11,IN_E22,IN_ElemCount,IN_HubMaterial,IN_Root_AvgCapMaterialThickness,IN_Tip_AvgCapMaterialThickness,OUT_Blade_Cost_Total,OUT_Blade_Tip_Deflection
28-20,c2ffa794-444f-4c31-81bf-f96a1eaa7c8c,27067.77116,58813.70805,28,Steel,90.47228953,22.22938386,158252.9387,2670.777487
28-20,4f439955-ca15-44b2-b7bc-3a326b34a20d,28075.67757,52323.47569,44,Steel,96.60046597,25.91729981,167048.5093,2400.101575
28-20,50152b96-326e-42c8-84da-7e6414ee1d3b,29040.69029,82313.56438,10,Steel,91.43495348,21.85282405,159181.8711,2408.891826
32-20,9525c0f3-bf14-40b7-b329-fa12fd9df3cf,27852.96958,14735.92616,20,Steel,92.01933247,20.70636125,164998.821,2385.428146
28-16,1b1dadb2-43d2-44eb-a214-8412b54bc7db,29840.76472,45703.58836,29,Steel,86.74819521,29.1922115,156818.5212,2306.458994
28-16,b997b428-4129-45dd-a3fb-cf5309e62884,26249.21409,52827.43094,34,Steel,94.73556878,28.0547039,165730.4429,2367.650132
30-20,d7482edb-0d8e-43e0-9db5-8b5fb86d670d,31313.5701,15913.23184,49,Steel,86.20267607,26.57248041,159055.4236,2332.909629
28-20,3171967d-8fb9-46b7-bc6c-0bcf758066a5,30240.61602,64322.65166,21,Steel,91.29147048,26.53901509,160237.2084,2336.574001
28-20,d59383f1-0ae4-452c-9870-00206dd40e47,31514.80546,84669.6085,26,Steel,89.41902867,23.29055929,157725.0887,2423.294087
32-16,f3074078-3caa-4b77-a0b3-b9f22280c642,30112.01845,42473.88952,52,Steel,81.28637719,24.50862095,148496.0103,2363.643517
28-20,0956874f-e6a9-476d-8518-b8f1c8f6db05,28850.2728,48448.87243,22,Steel,79.1581774,21.15416169,141111.3209,2874.351422
28-20,ba3d883f-9e4b-4d8b-b740-21761c8532ba,28315.36905,48522.59244,33,Steel,80.85687357,29.62764881,144410.3978,2599.843562
32-20,00aa6869-2eb0-4c35-af71-ac1b6d73ce52,28656.72687,19189.1478,36,Steel,92.21172975,20.02797705,165026.4087,2390.73076
32-20,697f7fdd-6b1f-41dd-aa0f-4cde00574b68,30212.33407,78849.10587,18,Steel,93.35773536,20.33683212,168593.9702,2240.913355
28-16,61abe600-e41b-49c3-9187-14737a877984,26440.58635,52214.48918,20,Steel,87.25652877,29.63367211,157529.4844,2427.616403
28-20,6867fe68-45e4-4c37-abab-2e467f76cc3b,30659.40172,79203.84654,41,Steel,84.20626329,23.13653602,153771.0004,2614.139842
30-20,2daaf862-060e-4307-b115-7f01e6ec6919,30043.95119,70891.42309,21,Steel,79.20082165,26.04171266,144996.6322,2510.294683
30-20,2e1a961e-503e-4959-b45e-d90929993092,27648.61991,84937.21036,21,Steel,96.46504369,26.41319002,170541.8789,2252.217199
32-20,ccbc2a39-c1bd-4e8d-9d0b-2275675a758f,31462.95742,30435.15041,18,Steel,81.15335646,21.90605599,147842.3322,2400.81398
32-20,658ac5a2-0111-4b0f-881f-bc063119e6a1,27260.499,30689.06387,12,Steel,86.61026516,24.74606759,161654.2496,2344.442568
32-16,92bab21c-447f-4b98-a76a-da360c921adf,31877.2933,27181.05639,5,Steel,94.00668855,27.98643894,146579.9442,2713.847295
32-16,2dd02eab-3392-4045-b5b8-3250719eb84f,28185.29978,49873.45339,48,Steel,93.39262312,23.91320312,169304.15,2226.445364
28-20,d1548bb5-d8c5-45e0-8eda-af07ad3171b6,30449.13517,50233.01927,13,Steel,82.72038257,23.35571614,144404.4179,2540.492985
30-20,5f3d8347-32a9-4a40-8dfc-366f9a2bbd7d,29414.00303,89029.37077,25,Steel,86.79089159,23.89305833,158927.7465,2453.052359
28-20,a3ab34f2-a468-4c60-a32e-dd070a9c572d,28663.80357,45359.36816,30,Steel,78.3882858,24.43623129,141182.12,2800.990863
30-16,011afe59-82b8-4c96-b752-0c99dcdd6284,30636.75101,57740.11278,56,Steel,92.49172466,28.62032842,164107.4294,2116.46256
32-20,c4c1747b-c902-4c72-8b85-fe33930e4809,30179.54478,38169.5966,54,Steel,87.30380048,25.50980193,162595.026,2290.737362
32-16,597a899e-6173-453d-825d-a65e534c58b9,26547.01057,73152.33771,13,Steel,89.21423609,21.05988885,162310.8737,2343.691662
28-20,46c494f5-c32b-4ef2-9189-8fa75cc421b9,29043.27503,31021.50093,41,Steel,84.2845229,24.31838082,153878.7636,2658.484085
28-20,4631096a-0bd6-4403-9c12-2a63d9ee90e3,28249.42949,67375.48115,36,Steel,88.56335474,29.87671026,159204.1918,2421.775418
30-20,5ddf0a73-7062-4a28-8a17-a3f50235b4f8,27784.66102,21613.79896,33,Steel,78.86440849,23.69882284,144270.0707,2753.048067
32-20,6640d932-c98f-4a7d-8d0e-8f658091748d,26936.98122,47193.64868,12,Steel,91.84155813,21.29835002,165243.1423,2343.269504
28-20,5b178be1-10e8-45f3-963e-7fd48dea8ec5,30092.5109,76268.87308,13,Steel,86.5231211,29.11148323,157094.4754,2314.693698
32-16,e0b7da30-88b9-424d-873e-b18066cab1a9,29758.86243,29133.71434,30,Steel,84.53398623,21.8908889,158511.2252,2354.918484
32-20,1317c76e-5a91-4fa7-87e8-8ac86535f542,29369.56257,44959.537,41,Steel,78.51136838,26.75411942,146800.2875,2466.403857
30-16,ddbf79ca-24c1-4352-a65a-ba1e6efdfad1,26642.95107,75504.47452,60,Steel,96.69362183,27.36386846,169706.4436,2261.618863
30-16,72fb4393-d3fe-4923-8f0f-fe44ee291c28,28130.83037,80938.44369,17,Steel,82.56962254,25.36708384,146779.1463,2435.447692
32-20,ae90b64e-40a3-47ab-92b2-0af70571ea77,31226.82625,58017.16508,51,Steel,93.23368019,25.16364251,169749.6112,2139.932039
30-20,66da5b53-0fa9-4b15-ab12-2e16cf549236,29547.15182,82662.19921,14,Steel,88.63131267,28.6047218,161944.3421,2217.328604
32-20,0a06806f-54c7-425d-ba74-b7834ae45b0b,31210.83398,37106.89009,10,Steel,96.41449879,20.28469977,171473.9898,2006.555928
32-16,04f90a5f-024f-4999-b723-39a2dc07a965,29650.08147,13961.74246,47,Steel,79.50937624,28.22470959,147940.5925,2304.088082
28-16,c52fac00-7a73-4bf2-8b04-cb557b5631f8,26131.78548,40620.611,21,Steel,92.30716015,29.07733296,161416.8426,2370.487387
