CfgID,IN_ElemCount,IN_E11,IN_E22,IN_HubMaterial,IN_Root_AvgCapMaterialThickness,IN_Tip_AvgCapMaterialThickness,OUT_Blade_Cost_Total,OUT_Blade_Tip_Deflection
30-20,58,28126.1072,56979.27432,Steel,89.80679869,23.84712516,161618.4119,2491.361564
32-16,26,29999.81206,59068.12827,Steel,95.69109643,27.13347459,172324.9093,1987.930245
32-20,39,27992.74199,25153.99754,Steel,78.79046477,25.84423925,146964.5744,2559.232643
30-16,49,28678.61312,84550.33965,Steel,90.33994852,29.08580503,162365.9116,2225.585447
28-16,11,28392.5706,37529.82886,Steel,77.63251358,29.0167526,141255.4516,2485.708005
30-20,55,28829.10001,64957.25367,Steel,84.76352786,29.38172934,158752.9687,2405.26306
30-16,38,30059.55098,12441.49338,Steel,86.96370056,27.4340899,158912.6836,2259.160073
30-16,47,30745.3355,68291.5239,Steel,84.32742957,26.37569849,156409.7187,2310.472294
32-16,33,28913.71089,28674.64829,Steel,93.65437203,25.28756432,170050.5492,2133.999071
30-20,30,29900.08851,86972.31801,Steel,93.21745012,21.95599195,166460.8888,2364.183178
30-20,32,26673.37004,24916.67839,Steel,88.67716394,26.26700239,161412.3629,2495.219001
30-16,47,27754.27361,56204.75488,Steel,89.83445209,24.20322431,160554.0724,2405.52606
30-20,33,27085.32769,38360.40786,Steel,92.58445445,29.56473619,165316.6168,2314.655755
28-20,19,30777.25059,54555.49245,Steel,88.74862099,22.6833103,157226.4359,2453.439921
30-20,46,28399.21578,76586.90365,Steel,81.91434594,20.95977281,145987.2196,2763.330148
32-20,12,30767.01424,31479.60846,Steel,83.24190846,27.79466079,157305.4948,2168.732127
32-20,33,27871.58228,19517.78365,Steel,89.53240962,21.16756751,162971.7082,2458.71207
28-16,40,26220.86925,44131.77628,Steel,92.66841723,25.66381511,160535.5107,2486.331009
32-16,25,31202.91082,89163.06007,Steel,95.63584413,23.37632379,171168.3559,2023.75593
32-20,41,28600.35665,53135.12335,Steel,77.94460961,26.30891318,146442.4983,2541.073018
28-16,11,30017.9069,72268.87013,Steel,88.15908467,21.70843706,155979.069,2361.501725
32-16,53,27500.80901,73346.27551,Steel,82.79685581,27.34864133,150301.1066,2369.448547
28-20,40,27613.84495,64431.47669,Steel,91.22274025,23.05978692,159187.3131,2617.199633
30-20,55,26917.66433,71294.82238,Steel,91.55320147,26.91387367,164112.7935,2436.454524
32-16,12,27569.74094,56900.97721,Steel,78.83603899,25.12360083,146566.0967,2394.509537
32-20,40,31084.72348,21782.78624,Steel,93.04554745,25.30423161,169569.71,2136.88335
28-16,53,27721.37238,51583.53943,Steel,87.55213227,26.61711415,156661.513,2494.029285
30-20,15,28441.76418,16925.08072,Steel,85.5380058,23.12079405,157685.7149,2501.104048
28-16,13,29398.70048,78978.18328,Steel,78.44987173,26.68844458,141263.999,2506.327516
30-20,44,28744.71359,27148.52083,Steel,82.08189867,22.90003812,146630.5906,2658.172447
30-20,55,29056.19692,32110.61323,Steel,92.69585156,23.06327713,163726.1847,2414.114949
28-20,55,26275.21321,55813.55187,Steel,85.65451444,23.06716697,154609.1839,2845.49286
30-20,22,29931.24834,55343.10342,Steel,81.75679393,22.9285035,146402.7245,2563.99563
32-20,56,29947.03593,30143.15533,Steel,79.68757437,26.09484426,147899.5586,2441.289954
30-20,35,26332.37839,40288.81343,Steel,83.61505054,24.85198688,156530.4711,2681.716861
28-20,41,26377.43986,13549.4948,Steel,88.70853066,20.20581565,156265.0208,2844.017407
30-16,57,31729.5381,31917.87307,Steel,84.89545757,25.42635987,156670.9756,2296.509893
32-20,41,27464.68046,42091.88751,Steel,77.0682419,25.23084382,145467.9239,2662.884456
30-20,39,29774.47127,75684.97861,Steel,81.0435722,21.36603447,145472.5955,2684.86974
30-16,53,30332.53448,84125.33118,Steel,77.35149288,24.38369271,142434.928,2554.998292
28-16,48,27107.82886,67784.68284,Steel,81.1071498,28.28933444,143987.9532,2627.323857
28-16,37,30263.95765,60465.82329,Steel,90.46313074,22.70657583,158198.4976,2415.579973
32-16,49,28519.01909,52389.43874,Steel,91.66421332,25.45886828,165830.2929,2202.003824
28-20,28,28580.63794,79724.23655,Steel,90.02776577,20.80769612,157495.3244,2641.959277
30-16,38,31238.54074,71896.90409,Steel,91.03254026,23.94217402,161711.6752,2223.156635
32-16,15,29204.71632,62265.37109,Steel,83.97603046,28.09660071,159751.53,2159.562585
28-16,25,30650.30807,64856.17073,Steel,88.92783522,24.36363362,157429.3032,2346.564812
32-16,52,26530.17792,12736.87949,Steel,78.532939,20.49542313,145210.1932,2761.284109
30-20,40,29161.71614,76700.86585,Steel,80.01049393,24.65087379,145427.3835,2630.495985
32-16,21,28190.97634,83140.60255,Steel,84.45961606,26.99927298,159981.9343,2257.90573
28-20,54,30087.95524,89847.38827,Steel,93.69490671,29.04316911,165434.8493,2269.798259
28-20,59,26186.56774,88856.41729,Steel,94.5457033,23.81572037,168778.3914,2105.683062
28-16,43,28031.4981,34138.91211,Steel,86.68839511,20.47107572,154167.3315,2692.160374
32-20,59,26351.59105,55462.34987,Steel,80.69600997,22.31673115,147579.5281,2757.492268
30-16,58,31656.64715,54776.06149,Steel,86.85359099,29.54258156,159400.8203,2151.926193
28-16,28,29541.2194,79952.63049,Steel,87.89044252,29.93144208,157893.0949,2276.196654
32-16,20,30387.76992,88699.5011,Steel,90.15163492,22.81593268,163807.1786,2151.172789
28-16,6,28178.54874,55601.80484,Steel,83.43893294,22.9418759,157641.9097,2234.134104
28-20,53,31380.11088,70194.95115,Steel,91.47774658,27.6741904,160878.0235,2298.793611
30-20,37,27662.20016,41686.49247,Steel,83.18026523,24.12903713,153969.1036,2641.485576
30-20,33,28919.91832,74553.67309,Steel,85.57858647,26.42065501,158696.829,2448.337206
30-16,41,30058.73615,46200.55889,Steel,89.33334182,22.86542186,159770.9554,2335.249534
28-16,35,31105.48974,81290.96524,Steel,88.10083843,22.37954053,156003.7334,2423.344251
30-20,56,30827.37097,77822.56223,Steel,85.31791115,20.09494385,156904.2801,2583.898345
28-20,38,28326.60983,59159.49226,Steel,95.22488947,21.51647978,164733.1204,2480.438108
30-20,23,29198.28474,43363.65139,Steel,95.75553206,27.32968353,170217.9151,2179.558831
32-16,18,29816.02787,72851.43986,Steel,80.68600998,25.86995533,148124.2655,2284.455423
32-20,15,30562.21069,76567.1548,Steel,88.34695127,26.55890347,163696.4731,2136.140307
28-20,16,27583.82997,29476.80696,Steel,96.12307699,24.02910187,165900.3845,2385.797559
32-16,20,29019.7113,39493.11289,Steel,84.95391389,25.99411582,160222.2477,2231.706171
32-20,55,29849.3818,31338.21527,Steel,80.91933093,24.92437841,148640.8791,2461.503151
32-16,29,28659.00246,29479.59715,Steel,86.87853517,27.40149799,162031.4431,2209.13314
28-16,56,27779.42463,36708.58604,Steel,86.51060002,23.41861777,155074.6919,2618.90366
30-16,45,26749.05484,36810.34135,Steel,91.7172345,20.05981204,161033.683,2560.667359
28-20,56,29503.21014,66796.35556,Steel,87.18342866,22.35772579,155923.7439,2633.32447
28-20,16,29397.42802,89658.13124,Steel,81.72094513,22.13206138,143407.5411,2689.159684
32-20,35,26665.83337,30001.74155,Steel,79.95183697,24.53927013,147669.2126,2644.8993
30-16,50,28188.6126,75178.96439,Steel,78.90845317,25.77997705,143768.4379,2580.642533
28-16,22,28295.67703,14925.41869,Steel,85.3549044,27.38165454,154993.472,2450.187029
32-20,20,26503.06656,51388.59256,Steel,86.47161833,21.44420037,160601.4946,2560.346831
30-16,15,30962.98898,37622.82375,Steel,77.996405,27.21739293,143302.6844,2337.018535
30-20,24,29742.32283,13713.97179,Steel,90.73081526,26.6482204,163167.891,2277.634911
32-16,52,26694.5995,31823.22642,Steel,77.0172593,28.91752615,145998.5323,2501.152153
32-20,13,30165.28872,49627.81758,Steel,95.91106648,24.58858165,172331.597,2041.278752
30-16,26,28099.75333,20305.13263,Steel,78.17521848,28.25761306,143781.2295,2492.357051
28-16,60,30257.09719,60715.06074,Steel,78.13109925,23.78746053,140521.0513,2678.645488
